framework_id,code,grade,cluster,overarching_standard_code,overarching_standard,text,source_url,page,raw_text
CA-PE-2005,PE-K.1,0,,,,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1
Grade: K

Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.
"
CA-PE-2005,PE-K.1.1,0,Movement Concepts,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Travel within a large group, without bumping into others or falling, while using locomotor skills.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.1
Grade: K
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Travel within a large group, without bumping into others or falling, while using locomotor skills.
"
CA-PE-2005,PE-K.1.10,0,Locomotor Movement,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Travel in straight, curved, and zigzag pathways.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.10
Grade: K
Cluster: Locomotor Movement

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Travel in straight, curved, and zigzag pathways.
"
CA-PE-2005,PE-K.1.11,0,Locomotor Movement,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Jump over a stationary rope several times in succession, using forward-and-back and side-to-side movement patterns.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.11
Grade: K
Cluster: Locomotor Movement

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Jump over a stationary rope several times in succession, using forward-and-back and side-to-side movement patterns.
"
CA-PE-2005,PE-K.1.12,0,Manipulative Skills,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Strike a stationary ball or balloon with the hands, arms, and feet.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.12
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Strike a stationary ball or balloon with the hands, arms, and feet.
"
CA-PE-2005,PE-K.1.13,0,Manipulative Skills,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Toss a ball to oneself, using the underhand throw pattern, and catch it before it bounces twice.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.13
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Toss a ball to oneself, using the underhand throw pattern, and catch it before it bounces twice.
"
CA-PE-2005,PE-K.1.14,0,Manipulative Skills,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Kick a stationary object, using a simple kicking pattern.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.14
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Kick a stationary object, using a simple kicking pattern.
"
CA-PE-2005,PE-K.1.15,0,Manipulative Skills,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Bounce a ball continuously, using two hands.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.15
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Bounce a ball continuously, using two hands.
"
CA-PE-2005,PE-K.1.16,0,Rhythmic Skills,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Perform locomotor and nonlocomotor movements to a steady beat.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.16
Grade: K
Cluster: Rhythmic Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Perform locomotor and nonlocomotor movements to a steady beat.
"
CA-PE-2005,PE-K.1.17,0,Rhythmic Skills,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Clap in time to a simple, rhythmic beat.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.17
Grade: K
Cluster: Rhythmic Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Clap in time to a simple, rhythmic beat.
"
CA-PE-2005,PE-K.1.2,0,Movement Concepts,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Travel forward and sideways while changing direction quickly in response to a signal.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.2
Grade: K
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Travel forward and sideways while changing direction quickly in response to a signal.
"
CA-PE-2005,PE-K.1.3,0,Movement Concepts,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Demonstrate contrasts between slow and fast speeds while using locomotor skills.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.3
Grade: K
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Demonstrate contrasts between slow and fast speeds while using locomotor skills.
"
CA-PE-2005,PE-K.1.4,0,Movement Concepts,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Create shapes at high, medium, and low levels by using hands, arms, torso, feet, and legs in a variety of combinations.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.4
Grade: K
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Create shapes at high, medium, and low levels by using hands, arms, torso, feet, and legs in a variety of combinations.
"
