from_framework,from_code,to_framework,to_code,relation,from_grade,to_grade,match_key,confidence_note,from_text,to_text,from_source_url,to_source_url
CA-CCSS-ELA-2013,L.K.1,CA-CCSS-ELA-2013,L.1.1,,0,1,L | 1 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Print many upper- and lowercase letters. b. Use frequently occurring nouns and verbs. c. Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes). d. Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how). e. Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with). f. Produce and expand complete sentences in shared language activities.","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Print all upper- and lowercase letters. b. Use common, proper, and possessive nouns. c. Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop). d. Use personal (subject, object), possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything). CA e. Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home). f. Use frequently occurring adjectives. g. Use frequently occurring conjunctions (e.g., and, but, or, so, because). h. Use determiners (e.g., articles, demonstratives). i. Use frequently occurring prepositions (e.g., during, beyond, toward). j. Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",https://www2.cde.ca.gov/cacs/id/web/5551,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.1.1,CA-CCSS-ELA-2013,L.2.1,,1,2,L | 1 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Print all upper- and lowercase letters. b. Use common, proper, and possessive nouns. c. Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop). d. Use personal (subject, object), possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything). CA e. Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home). f. Use frequently occurring adjectives. g. Use frequently occurring conjunctions (e.g., and, but, or, so, because). h. Use determiners (e.g., articles, demonstratives). i. Use frequently occurring prepositions (e.g., during, beyond, toward). j. Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Use collective nouns (e.g., group). b. Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish). c. Use reflexive pronouns (e.g., myself, ourselves). d. Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told). e. Use adjectives and adverbs, and choose between them depending on what is to be modified. f. Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy). g. Create readable documents with legible print. CA",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.2.1,CA-CCSS-ELA-2013,L.3.1,,2,3,L | 1 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Use collective nouns (e.g., group). b. Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish). c. Use reflexive pronouns (e.g., myself, ourselves). d. Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told). e. Use adjectives and adverbs, and choose between them depending on what is to be modified. f. Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy). g. Create readable documents with legible print. CA","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences. b. Form and use regular and irregular plural nouns. c. Use abstract nouns (e.g., childhood). d. Form and use regular and irregular verbs. e. Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses. f. Ensure subject-verb and pronoun-antecedent agreement.* g. Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified. h. Use coordinating and subordinating conjunctions. i. Produce simple, compound, and complex sentences. j. Write legibly in cursive or joined italics, allowing margins and correct spacing between letters in a word and words in a sentence. CA k. Use reciprocal pronouns correctly. CA Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.3.1,CA-CCSS-ELA-2013,L.4.1,,3,4,L | 1 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences. b. Form and use regular and irregular plural nouns. c. Use abstract nouns (e.g., childhood). d. Form and use regular and irregular verbs. e. Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses. f. Ensure subject-verb and pronoun-antecedent agreement.* g. Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified. h. Use coordinating and subordinating conjunctions. i. Produce simple, compound, and complex sentences. j. Write legibly in cursive or joined italics, allowing margins and correct spacing between letters in a word and words in a sentence. CA k. Use reciprocal pronouns correctly. CA Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Use interrogative, relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why). CA b. Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses. c. Use modal auxiliaries (e.g., can, may, must) to convey various conditions. d. Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag). e. Form and use prepositional phrases. f. Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.* g. Correctly use frequently confused words (e.g., to, too, two; there, their).* h. Write fluidly and legibly in cursive or joined italics. CA Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.4.1,CA-CCSS-ELA-2013,L.5.1,,4,5,L | 1 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Use interrogative, relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why). CA b. Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses. c. Use modal auxiliaries (e.g., can, may, must) to convey various conditions. d. Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag). e. Form and use prepositional phrases. f. Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.* g. Correctly use frequently confused words (e.g., to, too, two; there, their).* h. Write fluidly and legibly in cursive or joined italics. CA Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences. b. Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses. c. Use verb tense to convey various times, sequences, states, and conditions. d. Recognize and correct inappropriate shifts in verb tense.* e. Use correlative conjunctions (e.g., either/or, neither/nor). Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.K.2,CA-CCSS-ELA-2013,L.1.2,,0,1,L | 2 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Capitalize the first word in a sentence and the pronoun I. b. Recognize and name end punctuation. c. Write a letter or letters for most consonant and short-vowel sounds (phonemes). d. Spell simple words phonetically, drawing on knowledge of sound-letter relationships.","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing a. Capitalize dates and names of people. b. Use end punctuation for sentences. c. Use commas in dates and to separate single words in a series. d. Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words. e. Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.1.2,CA-CCSS-ELA-2013,L.2.2,,1,2,L | 2 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing a. Capitalize dates and names of people. b. Use end punctuation for sentences. c. Use commas in dates and to separate single words in a series. d. Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words. e. Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Capitalize holidays, product names, and geographic names. b. Use commas in greetings and closings of letters. c. Use an apostrophe to form contractions and frequently occurring possessives. d. Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil). e. Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.2.2,CA-CCSS-ELA-2013,L.3.2,,2,3,L | 2 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Capitalize holidays, product names, and geographic names. b. Use commas in greetings and closings of letters. c. Use an apostrophe to form contractions and frequently occurring possessives. d. Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil). e. Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Capitalize appropriate words in titles. b. Use commas in addresses. c. Use commas and quotation marks in dialogue. d. Form and use possessives. e. Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness). f. Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words. g. Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.3.2,CA-CCSS-ELA-2013,L.4.2,,3,4,L | 2 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Capitalize appropriate words in titles. b. Use commas in addresses. c. Use commas and quotation marks in dialogue. d. Form and use possessives. e. Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness). f. Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words. g. Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Use correct capitalization. b. Use commas and quotation marks to mark direct speech and quotations from a text. c. Use a comma before a coordinating conjunction in a compound sentence. d. Spell grade-appropriate words correctly, consulting references as needed.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.4.2,CA-CCSS-ELA-2013,L.5.2,,4,5,L | 2 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Use correct capitalization. b. Use commas and quotation marks to mark direct speech and quotations from a text. c. Use a comma before a coordinating conjunction in a compound sentence. d. Spell grade-appropriate words correctly, consulting references as needed.","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing. a. Use punctuation to separate items in a series.* b. Use a comma to separate an introductory element from the rest of the sentence. c. Use a comma to set off the words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It’s true, isn’t it?), and to indicate direct address (e.g., Is that you, Steve?). d. Use underlining, quotation marks, or italics to indicate titles of works. e. Spell grade-appropriate words correctly, consulting references as needed. Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
