framework_id,code,grade,grade_range,art_type,subdiscipline,artistic_process,anchor_standard,enduring_understanding,essential_questions,process_components,performance_standards,source_url,page,raw_text
CA-VAPA-2019,PK.DA.Cr1,TK,,Dance,,Creating,1: Generate and conceptualize artistic ideas and work,Choreographers use a variety of sources as inspiration and transform concepts and ideas into movement for artistic expression.,Where do choreographers get ideas for dances?,Explore,"a. Respond in movement to a variety of sensory stimuli (e.g., music/sound, visual, tactile).
b. Find a different way to do several basic locomotor and non-locomotor movements.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA.Cr1
Grade: TK
Discipline: Dance
Artistic Process: CreatingAnchor Standard: 1: Generate and conceptualize artistic ideas and work

Enduring Understanding: Choreographers use a variety of sources as inspiration and transform concepts and ideas into movement for artistic expression.
Essential Question(s): Where do choreographers get ideas for dances?
Process Component(s): Explore

Performance Standard(s):
a. Respond in movement to a variety of sensory stimuli (e.g., music/sound, visual, tactile).
b. Find a different way to do several basic locomotor and non-locomotor movements.
"
CA-VAPA-2019,PK.DA:Cr2,TK,,Dance,,Creating,2: Organize and develop artistic ideas and work,"The elements of dance, dance structures, and choreographic devices serve as both a foundation and a departure point for choreographers.",What influences choice-making in creating choreography?,Plan,"a. Improvise dance that starts and stops on cue.
b. Engage in dance experiences moving alone or with a partner.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Cr2
Grade: TK
Discipline: Dance
Artistic Process: CreatingAnchor Standard: 2: Organize and develop artistic ideas and work

Enduring Understanding: The elements of dance, dance structures, and choreographic devices serve as both a foundation and a departure point for choreographers.
Essential Question(s): What influences choice-making in creating choreography?
Process Component(s): Plan

Performance Standard(s):
a. Improvise dance that starts and stops on cue.
b. Engage in dance experiences moving alone or with a partner.
"
CA-VAPA-2019,PK.DA:Cr3,TK,,Dance,,Creating,3: Refine and complete artistic work,"Choreographers analyze, evaluate, refine, and document their work to communicate meaning","How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?",Revise,Respond to suggestions for changing movement through guided improvisational experiences.,https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Cr3
Grade: TK
Discipline: Dance
Artistic Process: CreatingAnchor Standard: 3: Refine and complete artistic work

Enduring Understanding: Choreographers analyze, evaluate, refine, and document their work to communicate meaning
Essential Question(s): How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?
Process Component(s): Revise

Performance Standard(s):
Respond to suggestions for changing movement through guided improvisational experiences.
"
CA-VAPA-2019,PK.DA:Pr4,TK,,Dance,,Performing,"4. Select, analyze, and interpret artistic work for presentation","Space, time, and energy are basic elements of dance.","How do dancers work with space, time and energy to communicate artistic expression?",Express,"a. Identify and demonstrate directions for moving the body in general space (e.g., forward, backwards, sideways, up, down, and turning) and finding and returning to a place in space.
b. Identify speed of movement as fast or slow. Move to varied rhythmic sounds at different tempi.
c. Move with opposing dynamics.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Pr4
Grade: TK
Discipline: Dance
Artistic Process: PerformingAnchor Standard: 4. Select, analyze, and interpret artistic work for presentation

Enduring Understanding: Space, time, and energy are basic elements of dance.
Essential Question(s): How do dancers work with space, time and energy to communicate artistic expression?
Process Component(s): Express

Performance Standard(s):
a. Identify and demonstrate directions for moving the body in general space (e.g., forward, backwards, sideways, up, down, and turning) and finding and returning to a place in space.
b. Identify speed of movement as fast or slow. Move to varied rhythmic sounds at different tempi.
c. Move with opposing dynamics.
"
CA-VAPA-2019,PK.DA:Pr5,TK,,Dance,,Performing,5: Develop and refine artistic techniques and work for presentation,Dancers use the mind-body connection and develop the body as an instrument for artistry and artistic expression.,What must a dancer do to prepare the mind and body for artistic expression?,Embody,"a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships.
b. Move in general space and start and stop on cue while maintaining personal space.
c. Identify and move body parts and repeat movements upon request.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Pr5
Grade: TK
Discipline: Dance
Artistic Process: PerformingAnchor Standard: 5: Develop and refine artistic techniques and work for presentation

Enduring Understanding: Dancers use the mind-body connection and develop the body as an instrument for artistry and artistic expression.
Essential Question(s): What must a dancer do to prepare the mind and body for artistic expression?
Process Component(s): Embody

Performance Standard(s):
a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships.
b. Move in general space and start and stop on cue while maintaining personal space.
c. Identify and move body parts and repeat movements upon request.
"
CA-VAPA-2019,PK.DA:Pr6,TK,,Dance,,Performing,6: Convey meaning through the presentation of artistic work,"Dance performance is an interaction between performer, production elements, and audience that heightens and amplifies artistic expression.",How does a dancer heighten artistry in a public performance?,Present,"a. Dance for others in a designated area or space.
b. Use a prop as part of a dance.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Pr6
Grade: TK
Discipline: Dance
Artistic Process: PerformingAnchor Standard: 6: Convey meaning through the presentation of artistic work

Enduring Understanding: Dance performance is an interaction between performer, production elements, and audience that heightens and amplifies artistic expression.
Essential Question(s): How does a dancer heighten artistry in a public performance?
Process Component(s): Present

Performance Standard(s):
a. Dance for others in a designated area or space.
b. Use a prop as part of a dance.
"
CA-VAPA-2019,PK.DA:Re7,TK,,Dance,,Responding,7: Perceive and analyze artistic work,Dance is perceived and analyzed to comprehend its meaning.,How is a dance understood?,Analyze,"a. Identify a movement in a dance by repeating it.
b. Demonstrate an observed or performed dance movement.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Re7
Grade: TK
Discipline: Dance
Artistic Process: RespondingAnchor Standard: 7: Perceive and analyze artistic work

Enduring Understanding: Dance is perceived and analyzed to comprehend its meaning.
Essential Question(s): How is a dance understood?
Process Component(s): Analyze

Performance Standard(s):
a. Identify a movement in a dance by repeating it.
b. Demonstrate an observed or performed dance movement.
"
CA-VAPA-2019,PK.DA:Re8,TK,,Dance,,Responding,8: Interpret intent and meaning in artistic work,"Dance is interpreted by considering intent, meaning, and artistic expression as communicated through the use of the body, elements of dance, dance technique, dance structure, and context.",How is dance interpreted?,Interpret,Observe a movement and share impressions.,https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Re8
Grade: TK
Discipline: Dance
Artistic Process: RespondingAnchor Standard: 8: Interpret intent and meaning in artistic work

Enduring Understanding: Dance is interpreted by considering intent, meaning, and artistic expression as communicated through the use of the body, elements of dance, dance technique, dance structure, and context.
Essential Question(s): How is dance interpreted?
Process Component(s): Interpret

Performance Standard(s):
Observe a movement and share impressions.
"
CA-VAPA-2019,PK.DA:Re9,TK,,Dance,,Responding,9: Apply criteria to evaluate artistic work,"Criteria for evaluating dance vary across genres, styles, and cultures",What criteria are used to evaluate dance?,Critique,Find a movement in a dance that was fun to watch. Repeat it and explain why it is fun to watch and do.,https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Re9
Grade: TK
Discipline: Dance
Artistic Process: RespondingAnchor Standard: 9: Apply criteria to evaluate artistic work

Enduring Understanding: Criteria for evaluating dance vary across genres, styles, and cultures
Essential Question(s): What criteria are used to evaluate dance?
Process Component(s): Critique

Performance Standard(s):
Find a movement in a dance that was fun to watch. Repeat it and explain why it is fun to watch and do.
"
CA-VAPA-2019,PK.DA:Cn10,TK,,Dance,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"As dance is experienced, all personal experiences, knowledge, and contexts are integrated and synthesized to interpret meaning.","How does dance deepen our understanding of ourselves, other knowledge, and events around us?",Synthesize,"a. Recognize an emotion expressed in dance movement that is watched or performed.
b. Observe a dance work. Identify and imitate a movement from the dance, and ask a question about the dance.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Cn10
Grade: TK
Discipline: Dance
Artistic Process: ConnectingAnchor Standard: 10: Synthesize and relate knowledge and personal experiences to make art

Enduring Understanding: As dance is experienced, all personal experiences, knowledge, and contexts are integrated and synthesized to interpret meaning.
Essential Question(s): How does dance deepen our understanding of ourselves, other knowledge, and events around us?
Process Component(s): Synthesize

Performance Standard(s):
a. Recognize an emotion expressed in dance movement that is watched or performed.
b. Observe a dance work. Identify and imitate a movement from the dance, and ask a question about the dance.
"
